event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BRA19103,2020-11-07,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Brazil),Women (Brazil),Protesters,,,,Protesters only,,76,South America,Brazil,Santa Catarina,Criciuma,,Criciuma,-28.6733,-49.3723,1,G1,National,"On 7 November 2020, in Criciuma, Santa Catarina, women carried out a march to demand justice for a rape victim who was verbally and psychologically abused by the defendant's lawyer and the prosecutor during her hearing trial.",0,crowd size=no report,1604954095
UKR179327,2024-02-02,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Kherson,Khersonskyi,Darivska,Tokarivka,46.7504,32.9513,1,WarGonzo,National,"On 2 February 2024, Russian Forces likely shelled Ukrainian positions in Tokarivka, Kherson. Casualties unknown.",0,,1726615190
ARM1847,2019-02-03,2019,1,Political violence,Battles,Armed clash,Military Forces of Azerbaijan (2003-),,External/Other forces,Military Forces of Armenia (2018-),,State forces,State forces-External/Other forces,,51,Caucasus and Central Asia,Armenia,Syunik,Meghri,,Agarak,38.8638,46.1954,2,Ministry of Foreign Affairs of Armenia,Other,"On 3 February 2019, military forces of Azerbaijan fired with small arms/sniper rifles on the positions of the military forces of Armenia located near Agarak, Meghri.",0,,1649875366
BUR9186,2019-01-10,2019,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Political militia,Civilians (Burundi),,Civilians,Political militia-Civilians,Civilian targeting,108,Eastern Africa,Burundi,Kirundo,Busoni,Ruheha,Nyagisozi,-2.4782,30.2875,2,Humura,New media,"On or before 01 October. A dead body was found near the Rweru river in Nyagisozi, Kirundo. Local residents say the SNR carried out the attack, as they saw a leader of the SNR in the area just before the body was found. This is speculation and has not been confirmed. The body was quickly buried without an investigation.",1,,1571091923
UKR56083,2022-04-18,2022,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-) Chechen Battalion of Ramzan Kadyrov,,External/Other forces,Military Forces of Russia (2000-),,External/Other forces,External/Other forces-External/Other forces,,804,Europe,Ukraine,Zaporizhia,Zaporizkyi,Zaporizka,Zaporizhia,47.8479,35.1602,3,24 Channel,National,"On 18 April 2022, Russian soldiers in Zaporizhia region refused to participate in hostilities because they were not paid wages. In response to that, servicemen of Chechen Battalion of Ramzan Kadyrov executed three Russian soldiers.",3,,1650997734
UKR109746,2023-06-24,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Sumy,Shostkynskyi,Druzhbivska,Chuikivka,52.0296,34.0037,1,Ministry of Defence of Ukraine,Other,"On 24 June 2023, Russian forces fired mortars and artillery at Chuikivka, Sumy. Casualties unknown.",0,,1722974448
ETH3793,2017-05-02,2017,1,Political violence,Battles,Armed clash,AGUDM: Patriotic Ginbot 7 for Unity and Democratic Movement,,Rebel group,Military Forces of Ethiopia (1991-2018),,State forces,State forces-Rebel group,,231,Eastern Africa,Ethiopia,Amhara,South Gondar,Libokemekem,Addis Zemen,12.1167,37.7833,1,ESAT,International,Three soldiers were killed on Tuesday as their convoy came under attack by Ginbot 7 troops in Addis Zemen near Metmiku Yohannes Monastery.,3,,1618529950
PAR4444,2023-04-23,2023,1,Political violence,Riots,Mob violence,Rioters (Paraguay),Vigilante Group (Paraguay),Rioters,,,,Rioters only,,600,South America,Paraguay,Amambay,Pedro Juan Caballero,,Pedro Juan Caballero,-22.5472,-55.7333,1,ABC Color,National,"On 23 April 2023, in Pedro Juan Caballero (Amambay), a group of rioters set fire to the house of a suspected drug dealer over the killing of a girl. The rioters blamed the death of the girl on drug trafficking in the area. The owner of the house had been arrested by the police after drugs were found inside. There were no casualties.",0,crowd size=no report,1683046241
FRA22594,2023-03-01,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (France),CFDT: French Democratic Confederation of Labor; CGT: General Confederation of Labor (France); Labor Group (France),Protesters,,,,Protesters only,,250,Europe,France,Nouvelle-Aquitaine,Correze,Brive-la-Gaillarde,Brive-la-Gaillarde,45.1451,1.5143,1,La Montagne,Subnational,"On 1 March 2023, striking workers gathered for a rally organized by CFDT and CGT at the Eurocast site, in the Teinchurier area of Brive-la-Gaillarde, in support of higher wages due to inflation.",0,crowd size=no report,1731445280
KOR37810,2024-10-14,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (South Korea),KCTU: Korean Confederation of Trade Unions; Labor Group (South Korea),Protesters,,,,Protesters only,,410,East Asia,South Korea,Ulsan,Nam,,Ulsan - Nam,35.5123,129.3348,1,Hankyoreh,National,"On 14 October 2024, unionized employees of HD Hyundai Heavy Industries (KCTU affiliate) held a press conference and displayed banners at the Ulsan Metropolitan City Hall (Ulsan - Nam), criticizing the company's alleged violence against union members during the walkout. They demanded an apology and a pledge to prevent recurrences.",0,crowd size=no report,1729632726
